Month,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Class
Jan,1,1,1,2,1,1,2,3,0
Jan,0,0,0,0,0,0,0,1,0
Jan,0,0,0,0,0,0,0,1,0
Jan,1,1,0,1,0,0,0,2,0
Jan,0,2,0,0,4,0,0,5,0
Jan,1,2,0,0,2,0,2,3,0
Jan,0,1,0,0,1,0,0,2,0
Jan,0,0,0,0,0,0,0,1,0
Jan,0,2,0,0,2,0,0,3,0
Jan,0,0,0,0,0,0,0,2,0
Jan,1,1,0,0,1,0,1,2,0
Jan,0,0,0,0,0,0,0,2,0
Feb,0,0,0,0,0,0,0,1,0
Feb,0,0,0,0,0,0,0,1,0
Feb,0,3,0,1,3,0,1,4,0
Feb,0,0,0,0,0,0,0,1,0
Feb,0,0,0,0,0,0,0,1,0
Feb,0,0,0,0,0,0,0,1,0
Feb,0,0,0,0,0,0,0,1,0
Feb,0,0,0,0,0,0,0,1,0
Feb,0,1,0,1,1,0,1,2,0
Feb,0,0,1,1,1,0,0,2,0
Feb,0,0,0,0,1,0,0,2,0
Feb,0,0,0,0,0,0,0,1,0
Feb,1,0,0,2,0,1,0,3,0
March,0,0,0,0,0,0,0,2,0
March,0,1,0,0,1,0,1,2,0
March,0,0,0,0,0,0,0,1,0
March,0,0,0,0,0,0,0,1,0
March,0,0,0,0,0,0,0,1,0
March,0,0,0,0,0,0,0,1,0
March,0,0,0,0,0,0,0,1,0
March,0,0,0,0,0,0,0,1,0
March,0,0,0,0,0,0,0,1,0
March,0,0,0,0,0,0,0,1,0
March,0,2,0,1,0,0,0,3,0
March,0,0,0,0,0,0,0,2,0
March,0,0,0,0,0,0,0,1,0
March,0,0,0,0,0,0,0,1,0
March,0,1,0,2,2,0,0,4,0
March,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,2,0
April,0,0,0,0,0,0,0,3,0
April,0,0,0,0,0,0,0,2,0
April,0,2,0,1,2,0,1,4,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,2,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,1,1,0,0,2,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,1,1,1,0,1,0,2,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,2,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,1,0,0,2,0,1,3,0
April,0,1,0,0,1,0,1,2,0
April,1,1,0,1,1,0,0,2,0
April,0,0,0,0,0,0,0,1,0
April,1,1,0,1,0,0,0,2,0
April,0,2,0,0,2,1,0,3,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,1,0,0,1,0,0,2,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,2,1,1,3,0
April,0,0,0,0,1,0,0,3,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,1,0,0,2,0,0,3,0
April,1,1,2,1,2,1,1,4,0
April,0,0,0,0,1,0,0,2,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,1,0,0,2,0
April,0,3,0,2,1,0,1,4,0
April,0,0,0,0,1,0,0,2,0
April,0,0,0,0,0,0,0,1,0
April,0,2,0,1,2,0,0,5,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
April,0,0,0,0,0,0,0,1,0
